"Metai";"Mënuo";"Mënesio pajamos";"Amþius";"Lytis";"Apdraustøjø skaièius"
2010.0;"Sausis";"iki 65,15 €";"Visos amþiaus grupës";"Visi apdraustieji";25.48
2010.0;"Sausis";"iki 65,15 €";"Visos amþiaus grupës";"Moterys";11.46
2010.0;"Sausis";"iki 65,15 €";"Visos amþiaus grupës";"Vyrai";14.02
2010.0;"Sausis";"iki 65,15 €";"iki 24 metø";"Visi apdraustieji";2.94
2010.0;"Sausis";"iki 65,15 €";"iki 24 metø";"Moterys";1.42
2010.0;"Sausis";"iki 65,15 €";"iki 24 metø";"Vyrai";1.53
2010.0;"Sausis";"iki 65,15 €";"25-34 metai";"Visi apdraustieji";5.29
2010.0;"Sausis";"iki 65,15 €";"25-34 metai";"Moterys";1.98
2010.0;"Sausis";"iki 65,15 €";"25-34 metai";"Vyrai";3.31
2010.0;"Sausis";"iki 65,15 €";"35-44 metai";"Visi apdraustieji";5.85
2010.0;"Sausis";"iki 65,15 €";"35-44 metai";"Moterys";2.38
2010.0;"Sausis";"iki 65,15 €";"35-44 metai";"Vyrai";3.47
2010.0;"Sausis";"iki 65,15 €";"45-54 metai";"Visi apdraustieji";5.72
2010.0;"Sausis";"iki 65,15 €";"45-54 metai";"Moterys";2.61
2010.0;"Sausis";"iki 65,15 €";"45-54 metai";"Vyrai";3.11
2010.0;"Sausis";"iki 65,15 €";"55-64 metai";"Visi apdraustieji";3.53
2010.0;"Sausis";"iki 65,15 €";"55-64 metai";"Moterys";1.92
2010.0;"Sausis";"iki 65,15 €";"55-64 metai";"Vyrai";1.61
2010.0;"Sausis";"iki 65,15 €";"virð 65 metø";"Visi apdraustieji";2.15
2010.0;"Sausis";"iki 65,15 €";"virð 65 metø";"Moterys";1.15
2010.0;"Sausis";"iki 65,15 €";"virð 65 metø";"Vyrai";1.0
2010.0;"Sausis";"65,16-130,32 €";"Visos amþiaus grupës";"Visi apdraustieji";65.47
2010.0;"Sausis";"65,16-130,32 €";"Visos amþiaus grupës";"Moterys";33.22
2010.0;"Sausis";"65,16-130,32 €";"Visos amþiaus grupës";"Vyrai";32.25
2010.0;"Sausis";"65,16-130,32 €";"iki 24 metø";"Visi apdraustieji";7.63
2010.0;"Sausis";"65,16-130,32 €";"iki 24 metø";"Moterys";3.79
2010.0;"Sausis";"65,16-130,32 €";"iki 24 metø";"Vyrai";3.84
2010.0;"Sausis";"65,16-130,32 €";"25-34 metai";"Visi apdraustieji";13.06
2010.0;"Sausis";"65,16-130,32 €";"25-34 metai";"Moterys";5.78
